difficulty	halflife	p_recall	delta_t	reps	lapses	last_date	due_date	r_history	t_history	p_history	state	cost
9	35.5139	0.9431	3	3	6	86	95	0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1	0,1,1,3,9,1,3,7,1,2,5,8,2,4,8,19,1,3,1,1,2,4	0.39,0.48,0.92,0.88,0.84,0.87,0.84,0.85,0.87,0.88,0.86,0.89,0.80,0.85,0.86,0.84,0.90,0.84,0.81,0.70,0.83,0.85	[35.513918763179284, 18]	27
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
6	337.8904	0.9878	6	4	1	83	90	1,1,1,0,1,1,1,1	0,3,6,16,2,6,13,37	0.55,0.87,0.90,0.88,0.84,0.84,0.87,0.83	[337.8903731041247, 8]	8
5	366.2218	0.9253	41	3	0	48	408	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
9	152.3678	0.913	20	4	3	69	113	0,0,1,1,0,1,1,1,0,1,1,1,1	0,1,1,2,4,1,3,7,17,2,4,8,19	0.39,0.48,0.50,0.83,0.87,0.85,0.82,0.84,0.83,0.80,0.85,0.86,0.84	[152.36775031925947, 15]	15
5	366.2218	0.9253	41	3	0	48	408	1,1,1,1	0,3,10,35	0.61,0.89,0.86,0.82	[366.22177852355964, 5]	3
4	369.3764	0.9156	47	3	0	42	402	1,1,1,1	0,3,8,31	0.66,0.91,0.90,0.84	[369.3763802085206, 4]	3
4	377.4561	0.9675	18	7	2	71	431	1,0,1,0,1,1,1,1,1,1,1	0,3,1,3,1,3,8,12,27,9,4	0.66,0.91,0.87,0.87,0.84,0.84,0.85,0.91,0.89,0.98,0.99	[377.4561058801924, 8]	12
6	380.4287	0.9873	7	6	1	89	449	0,1,1,1,0,1,1,1,1,1,1	0,1,2,5,16,1,3,6,15,33,7	0.55,0.62,0.88,0.89,0.85,0.90,0.87,0.89,0.87,0.87,0.99	[380.42866514640446, 8]	11
4	370.0995	0.9192	45	4	0	44	404	0,1,1,1,1	0,1,3,8,32	0.66,0.73,0.86,0.89,0.83	[370.09947232165575, 4]	4
6	372.0628	0.9386	34	5	0	55	415	0,1,1,1,1,1	0,1,2,5,16,31	0.55,0.62,0.88,0.89,0.85,0.89	[372.06279030170253, 6]	5
9	26.1579	0.9484	2	2	6	87	94	0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1	0,1,1,2,1,2,3,8,1,2,4,8,1,2,3,9,1,3,4,8,19,1,3	0.39,0.48,0.50,0.83,0.78,0.86,0.91,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.91,0.84,0.87,0.82,0.89,0.88,0.84,0.90,0.84	[26.15794756610062, 18]	28
